,title,price,region
0,(새상품)아이폰13케이스/아이폰13프로pro케이스/아이폰12케이스/아이폰12프로pro풀커버젤리투명케이스,"4,000원",서울 관악구 신사동
1,아이폰 11 아이폰12 아이폰12프로맥스 투명케이스 (새제품) 끈포함,"2,000원",서울 마포구 대흥동
2,아이폰 12 미니 256기가 화이트 아이폰12 아이폰미니,"500,000원",경남 김해시 장유3동
3,아이폰 12 12gb 레드 ( iPhone 12 ),"500,000원",서울 성동구 행당제1동
4,(새제품)아이폰 12프로 케이스/아이폰케이스/아이폰12프로/아이폰,"8,000원",서울 서대문구 남가좌동
5,아이폰 12 / 프로 케이스 iphone 12 pro case,,대구 수성구 수성1가동
6,아이폰12 미니 128g iphone12 mini 블랙 판매합니다(화면 보호필름입니다),"400,000원",서울 강서구 화곡본동
7,아이폰12pro 128G 아이폰12프로,"720,000원",광주 광산구 첨단1동
8,아이폰 12프로 그라파이트 128g 자급제-->아이폰 12프로 맥스 그라파이트 + 추가금 교환원해요,,서울 성동구 성수2가제1동
9,아이폰12프로/아이폰12 정품 실리콘케이스,"45,000원",서울 서대문구 홍은동
10,아이폰12/아이폰12프로 케이스,"5,000원",인천 미추홀구 주안4동
11,잉크 아이폰12프로맥스케이스 / iphone 12 pro max case,"25,000원",경기도 안양시 동안구 평안동
12,아이폰12 프로 아이폰12프로 맥스,"3,000원",서울 서대문구 대현동
13,아이폰12————->아이폰12이상 모델,"212,121원",전남 여수시 시전동
14,(새상품)아이폰13케이스/아이폰13프로pro케이스/아이폰12케이스/아이폰12프로pro케이스풀커버젤리투명케이스,"4,000원",서울 관악구 신사동
15,아이폰12프로128 애케플으로 아이폰13구해요,,경기도 동두천시 중앙동
16,아이폰12 아이폰12프로 Pelican 케이스,"16,000원",서울 서초구 방배동
17,아이폰12 미니 화이트 아이폰 미니 12 iphone,"450,000원",서울 서초구 서초2동
18,아이폰12 미니 화이트 아이폰 미니 12 iphone,"450,000원",서울 강남구 대치동
19,아이폰 12 미니 화이트 >> 아이폰 12 이상 교환,"121,212원",충남 아산시 배방읍
20,아이폰12 프로 아이폰12 pro 256gb 실버,"780,000원",서울 도봉구 방학제3동
21,아이폰11프로256이랑 아이폰 12or12pro 13 13pro 교환하실 분!!,"10,000원",경기도 광명시 하안3동
22,새상품 ) 아이폰 12 케이스 iphone 12,"2,500원",대구 달서구 상인동
23,(새상품)아이폰12 / 아이폰12프로 맥세이프 케이스,"16,000원",세종시 집현동
24,미개봉 아이폰12 / 아이폰12 프로 에어 가드 젤리케이스,"2,000원",경기도 수원시 영통구 영통1동
25,"아이폰12프맥 > 아이폰12프로, 아이폰12",1원,경기도 부천시 춘의동
26,아이폰12/아이폰12pro 하트 케이스 + 그립톡 같이,"10,000원",서울 관악구 봉천동
27,아이폰12프로맥스케이스 / 폰케이스 / 아이폰12프로 / 아이폰12프로맥스 / 아이폰케이스,"2,000원",경기도 남양주시 다산2동
28,아이폰12/아이폰12프로 겸용 케이스,"5,000원",서울 금천구 시흥제2동
29,아이폰 12 미니 256 을 아이폰 12 128교환,,광주 북구 일곡동
30,[급매 S급] iPhone 12 mini 128G / 아이폰 12 미니,"380,000원",서울 서대문구 남가좌동
31,"아이폰 12 케이스 일괄 판매 (12프로 , 12)","15,000원",서울 강동구 상일동
32,아이폰12 / 아이폰12프로 케이스 투명 범퍼,"1,500원",인천 남동구 구월동
33,아이폰12 아이폰12프로 벨킨 울트라글라스 강화유리,"20,000원",충북 청주시 흥덕구 봉명2.송정동
34,"아이폰12미니 128 , iPhone12 mini 128","600,000원",서울 강북구 송천동
35,아이폰12 / 아이폰12pro 강화유리필름 2개,"10,000원",경남 밀양시 내이동
36,망그러진 곰 아이폰12프로/아이폰12 그립톡 부착된 케이스 팝니다❤️‍🔥,"13,500원",서울 성북구 석관동
37,아이폰 se3 아이폰12미니나 12 교신 원해요 추물 에어팟 2세대,,경기도 안산시 단원구 중앙동
38,아이폰12맥세이프케이스 아이폰12프로맥세이프케이스팝니다,"8,000원",인천 미추홀구 주안5동
39,iPhone 12 pro max / 아이폰 12 프로맥스 128GB 판매합니다.,"850,000원",서울 구로구 오류제1동
40,아이폰12프로 아이폰12pro 512 골드 팝니다,"855,000원",서울 은평구 녹번동
41,아이폰12미니 블랙 128GB 자급제 48만원 (아이폰12 mini),"480,000원",서울 종로구 종로5.6가동
42,(새상품)아이폰13케이스/아이폰13프로pro케이스/아이폰12케이스/아이폰12프로pro케이스풀커버투명케이스젤리케이스,"4,000원",서울 관악구 신사동
43,아이폰 아이폰11 아이폰 12 아이폰13 아이폰xr 아이폰xs 아이폰x 아이폰전기종최고가매입,999만 9999원,서울 성동구 용답동
44,아이폰12 아이폰13 애플로고 케이스 아이폰케이스,"9,000원",울산 남구 신정동
45,"아이폰 케이스 아이폰 12 프로, 아이폰 12 용 앵키하우스 무쪼 MUJJO 가죽 케이스 팝니다.","30,000원",경기도 화성시 진안동
46,파손 아이폰7플러스 이상 삽니다. 아이폰x 아이폰11.12,"100,000원",충남 천안시 동남구 구성동
47,파손 아이폰7플러스 이상 삽니다. 아이폰x 아이폰11.12,"100,000원",경기도 하남시 초일동
48,파손 아이폰7플러스 이상 삽니다. 아이폰x 아이폰11.12,"100,000원",서울 동대문구 휘경제1동
