,rNum,region
0,0,강원도 강릉시
1,1,강원도 고성군
2,2,강원도 동해시
3,3,강원도 삼척시
4,4,강원도 속초시
5,5,강원도 양구군
6,6,강원도 양양군
7,7,강원도 원주시
8,8,강원도 인제군
9,9,강원도 철원군
10,10,강원도 춘천시
11,11,강원도 홍천군
12,12,경기도 가평군
13,13,경기도 과천시
14,14,경기도 광명시
15,15,경기도 광주시
16,16,경기도 구리시
17,17,경기도 군포시
18,18,경기도 김포시
19,19,경기도 남양주시
20,20,경기도 동두천시
21,21,경기도 부천시
22,22,경기도 시흥시
23,23,경기도 안성시
24,24,경기도 양주시
25,25,경기도 양평군
26,26,경기도 여주시
27,27,경기도 연천군
28,28,경기도 오산시
29,29,경기도 의왕시
30,30,경기도 의정부시
31,31,경기도 이천시
32,32,경기도 파주시
33,33,경기도 평택시
34,34,경기도 포천시
35,35,경기도 하남시
36,36,경기도 화성시
37,37,경남 거제시
38,38,경남 거창군
39,39,경남 김해시
40,40,경남 밀양시
41,41,경남 사천시
42,42,경남 양산시
43,43,경남 진주시
44,44,경남 통영시
45,45,경남 함안군
46,46,경남 함양군
47,47,경북 경산시
48,48,경북 경주시
49,49,경북 고령군
50,50,경북 구미시
51,51,경북 김천시
52,52,경북 문경시
53,53,경북 상주시
54,54,경북 성주군
55,55,경북 안동시
56,56,경북 영주시
57,57,경북 영천시
58,58,경북 예천군
59,59,경북 울진군
60,60,경북 칠곡군
61,61,고양시 덕양구
62,62,고양시 일산동구
63,63,고양시 일산서구
64,64,관악구 대학동
65,65,광주 광산구
66,66,광주 남구
67,67,광주 동구
68,68,광주 북구
69,69,광주 서구
70,70,대구 남구
71,71,대구 달서구
72,72,대구 달성군
73,73,대구 동구
74,74,대구 북구
75,75,대구 서구
76,76,대구 수성구
77,77,대구 중구
78,78,대전 대덕구
79,79,대전 동구
80,80,대전 서구
81,81,대전 유성구
82,82,대전 중구
83,83,부산 강서구
84,84,부산 금정구
85,85,부산 기장군
86,86,부산 남구
87,87,부산 동구
88,88,부산 동래구
89,89,부산 부산진구
90,90,부산 북구
91,91,부산 사상구
92,92,부산 사하구
93,93,부산 서구
94,94,부산 수영구
95,95,부산 연제구
96,96,부산 영도구
97,97,부산 중구
98,98,부산 해운대구
99,99,서울 강남구
100,100,서울 강동구
101,101,서울 강북구
102,102,서울 강서구
103,103,서울 관악구
104,104,서울 광진구
105,105,서울 구로구
106,106,서울 금천구
107,107,서울 노원구
108,108,서울 도봉구
109,109,서울 동대문구
110,110,서울 동작구
111,111,서울 마포구
112,112,서울 서대문구
113,113,서울 서초구
114,114,서울 성동구
115,115,서울 성북구
116,116,서울 송파구
117,117,서울 양천구
118,118,서울 영등포구
119,119,서울 용산구
120,120,서울 은평구
121,121,서울 종로구
122,122,서울 중구
123,123,서울 중랑구
124,124,성남시 분당구
125,125,성남시 수정구
126,126,성남시 중원구
127,127,성북구 동선동
128,128,성북구 안암동
129,129,세종시 군면
130,130,세종시 담동
131,131,세종시 담동
132,132,세종시 람동
133,133,세종시 람동
134,134,세종시 롬동
135,135,세종시 름동
136,136,세종시 서면
137,137,세종시 성동
138,138,세종시 솔동
139,139,세종시 운동
140,140,세종시 정동
141,141,세종시 진동
142,142,세종시 촌동
143,143,세종시 평동
144,144,세종시 현동
145,145,수원시 권선구
146,146,수원시 영통구
147,147,수원시 장안구
148,148,수원시 팔달구
149,149,안산시 단원구
150,150,안산시 상록구
151,151,안양시 동안구
152,152,안양시 만안구
153,153,영통구 원천동
154,154,용인시 기흥구
155,155,용인시 수지구
156,156,용인시 처인구
157,157,울산 남구
158,158,울산 동구
159,159,울산 북구
160,160,울산 울주군
161,161,울산 중구
162,162,인천 강화군
163,163,인천 계양구
164,164,인천 남동구
165,165,인천 동구
166,166,인천 미추홀구
167,167,인천 부평구
168,168,인천 서구
169,169,인천 연수구
170,170,인천 중구
171,171,전남 강진군
172,172,전남 광양시
173,173,전남 나주시
174,174,전남 목포시
175,175,전남 무안군
176,176,전남 보성군
177,177,전남 순천시
178,178,전남 여수시
179,179,전남 영암군
180,180,전남 장성군
181,181,전남 함평군
182,182,전남 화순군
183,183,전북 고창군
184,184,전북 군산시
185,185,전북 김제시
186,186,전북 남원시
187,187,전북 부안군
188,188,전북 순창군
189,189,전북 완주군
190,190,전북 익산시
191,191,전북 장수군
192,192,전북 정읍시
193,193,전주시 덕진구
194,194,전주시 완산구
195,195,제주 서귀포시
196,196,제주 제주시
197,197,조치원읍 세종시
198,198,창원시 마산합포구
199,199,창원시 마산회원구
200,200,창원시 성산구
201,201,창원시 의창구
202,202,창원시 진해구
203,203,천안시 동남구
204,204,천안시 서북구
205,205,청주시 상당구
206,206,청주시 서원구
207,207,청주시 청원구
208,208,청주시 흥덕구
209,209,충남 계룡시
210,210,충남 공주시
211,211,충남 금산군
212,212,충남 논산시
213,213,충남 당진시
214,214,충남 보령시
215,215,충남 서산시
216,216,충남 서천군
217,217,충남 아산시
218,218,충남 예산군
219,219,충남 청양군
220,220,충남 태안군
221,221,충남 홍성군
222,222,충북 영동군
223,223,충북 음성군
224,224,충북 제천시
225,225,충북 증평군
226,226,충북 진천군
227,227,충북 충주시
228,228,포항시 남구
229,229,포항시 북구
